precio,tipo_inmueble,numero_habitaciones,numero_banos,metros_cuadrados,barrio_ubicacion
$ 2.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,75 m²,"Apartamento en arriendo en belen la palma, medellín"
$ 1.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,60 m²,"Apartamento en arriendo en calasanz, medellín"
$ 2.100.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,45 m²,"Apartamento en arriendo en el velodromo, medellín"
$ 4.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,120 m²,"Apartamento en arriendo en laureles, medellín"
$ 14.850.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,220 m²,"Apartamento en arriendo en la calera, medellín"
$ 2.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,120 m²,"Apartamento en arriendo en belén san bernardo, medellín"
$ 2.400.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,74 m²,Apartamento en arriendo en medellín
$ 5.250.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,92 m²,"Apartamento en arriendo en el poblado, suroriente, medellín"
$ 3.300.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,98 m²,"Apartamento en arriendo en guayabal, medellín"
$ 2.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,85 m²,"Apartamento en arriendo en loma de san julian, medellín"
$ 3.700.000,"Apartamento en Medellín, Antioquia",4 Habs. ,3 Baños,110 m²,"Apartamento en arriendo en loma de los bernal, medellín"
$ 2.600.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,60 m²,"Apartamento en arriendo en laureles, medellín"
$ 4.200.000,"Casa en Medellín, Antioquia",5 Habs. ,2 Baños,187 m²,"Casa en arriendo en belén, medellín"
$ 3.650.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,68 m²,"Apartamento en arriendo en el poblado, medellín"
$ 3.650.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,68 m²,"Apartamento en arriendo en ciudad del río, medellín"
$ 1.300.000,"Casa en Medellín, Antioquia",3 Habs. ,1 Baño,90 m²,"Casa en arriendo en boston, medellín"
$ 3.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,120 m²,Apartamento en arriendo en medellín
$ 3.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,85 m²,"Apartamento en arriendo en santa teresita, medellín"
$ 3.600.000,"Casa en Medellín, Antioquia",3 Habs. ,3 Baños,100 m²,"Casa en arriendo en la castellana, medellín"
$ 8.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,3 Baños,100 m²,"Apartamento en arriendo en los balsos, medellín"
$ 2.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,52 m²,"Apartamento en arriendo en belén fatima, medellín"
$ 6.300.000,"Casa en Medellín, Antioquia",4 Habs. ,3 Baños,320 m²,"Casa en arriendo en conquistadores, medellín"
$ 3.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,85 m²,"Apartamento en arriendo en santa teresita, medellín"
$ 4.300.000,"Apartamento en Medellín, Antioquia",4 Habs. ,3 Baños,60 m²,"Apartamento en arriendo en laureles, medellín"
$ 2.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,75 m²,"Apartamento en arriendo en san diego, medellín"
$ 4.500.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en el poblado, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,40 m²,"Apartamento en arriendo en barrio cristóbal, medellín"
$ 3.650.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,68 m²,"Apartamento en arriendo en ciudad del río, medellín"
$ 1.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,40 m²,"Apartamento en arriendo en san antonio de prado, medellín"
$ 7.000.000,"Casa en Medellín, Antioquia",2 Habs. ,2 Baños,125 m²,Casa en arriendo en medellín
$ 25.000.000,"Casa en Medellín, Antioquia",3 Habs. ,5 Baños,261 m²,Casa en arriendo en medellín
$ 2.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,110 m²,"Apartamento en arriendo en prado, medellín"
$ 2.600.000,"Apartamento en Medellín, Antioquia",1 Hab ,2 Baños,53 m²,"Apartamento en arriendo en conquistadores, medellín"
$ 8.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,3 Baños,101 m²,"Apartamento en arriendo en el poblado, medellín"
$ 9.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,161 m²,"Apartamento en arriendo en laureles, medellín"
$ 5.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,130 m²,"Apartamento en arriendo en el poblado, envigado"
$ 1.900.000,"Casa en Medellín, Antioquia",3 Habs. ,2 Baños,103 m²,"Casa en arriendo en campo alegre, medellín"
$ 2.400.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en el poblado, medellín"
$ 1.600.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,52 m²,"Apartamento en arriendo en vía las palmas, medellín"
$ 1.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,57 m²,"Apartamento en arriendo en boston, medellín"
$ 1.150.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,42 m²,"Apartamento en arriendo en san antonio de prado, medellín"
$ 1.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,45 m²,"Apartamento en arriendo en san antonio de prado, medellín"
$ 1.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,65 m²,"Apartamento en arriendo en la américa, medellín"
$ 1.500.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,45 m²,"Apartamento en arriendo en loreto, medellín"
$ 3.200.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en laureles, medellín"
$ 1.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,70 m²,"Apartamento en arriendo en boston, medellín"
$ 4.000.000,"Apartamento en Medellín, Antioquia",1 Hab ,2 Baños,45 m²,"Apartamento en arriendo en laureles, medellín"
$ 3.500.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,75 m²,"Apartamento en arriendo en astorga, medellín"
$ 3.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en laureles, medellín"
$ 3.600.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en la aguacatala, medellín"
