precio,tipo_inmueble,numero_habitaciones,numero_banos,metros_cuadrados,barrio_ubicacion
$ 4.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,78 m²,Apartamento en arriendo en medellín
$ 2.500.000,"Casa en Medellín, Antioquia",3 Habs. ,2 Baños,102 m²,"Casa en arriendo en santa mónica, medellín"
$ 2.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en la mota, medellín"
$ 7.000.000,"Apartamento en Medellín, Antioquia",1 Hab ,2 Baños,110 m²,"Apartamento en arriendo en castropol, medellín"
$ 5.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en castropol, medellín"
$ 9.500.000,"Casa en Medellín, Antioquia",3 Habs. ,3 Baños,220 m²,"Casa en arriendo en san lucas, medellín"
$ 2.400.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en rodeo alto, medellín"
$ 2.100.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,55 m²,"Apartamento en arriendo en la america, medellín"
$ 3.600.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en santa maria de los angeles, medellín"
$ 1.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,40 m²,"Apartamento en arriendo en enciso, medellín"
$ 4.900.000,"Apartamento en Medellín, Antioquia",1 Hab ,2 Baños,70 m²,"Apartamento en arriendo en el poblado, medellín"
$ 2.200.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,100 m²,"Apartamento en arriendo en la gloria, medellín"
$ 2.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en robledo, medellín"
$ 1.900.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en belén las mercedes, medellín"
$ 800.000,"Apartamento en Medellín, Antioquia",1 Hab ,1 Baño,25 m²,"Apartamento en arriendo en buenos aires, medellín"
$ 750.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,37 m²,"Apartamento en arriendo en buenos aires, medellín"
$ 7.200.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,114 m²,"Apartamento en arriendo en santa maria de los angeles, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en la floresta, medellín"
$ 1.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,45 m²,"Apartamento en arriendo en la floresta, medellín"
$ 2.300.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,75 m²,"Apartamento en arriendo en rodeo alto, medellín"
$ 4.500.000,"Casa en Medellín, Antioquia",5 Habs. ,4 Baños,147 m²,"Casa en arriendo en estadio, medellín"
$ 2.200.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,52 m²,"Apartamento en arriendo en calasanz, medellín"
$ 2.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,60 m²,"Apartamento en arriendo en loma de los bernal, medellín"
$ 3.100.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,94 m²,Apartamento en arriendo en medellín
$ 6.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,190 m²,"Apartamento en arriendo en san lucas, medellín"
$ 2.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en rodeo alto, medellín"
$ 7.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,3 Baños,109 m²,"Apartamento en arriendo en los balsos, medellín"
$ 2.200.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,90 m²,"Apartamento en arriendo en la castellana, medellín"
$ 1.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,60 m²,"Apartamento en arriendo en belén rincón, medellín"
$ 2.900.000,"Apartamento en Medellín, Antioquia",1 Hab ,1 Baño,44 m²,"Apartamento en arriendo en el poblado, medellín"
$ 2.900.000,"Apartamento en Medellín, Antioquia",1 Hab ,1 Baño,44 m²,"Apartamento en arriendo en el poblado, medellín"
$ 2.100.000,"Apartamento en Medellín, Antioquia",5 Habs. ,2 Baños,110 m²,"Apartamento en arriendo en san javier, medellín"
$ 2.000.000,"Apartamento en Medellín, Antioquia",4 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en la milagrosa, medellín"
$ 8.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,165 m²,"Apartamento en arriendo en san lucas, medellín"
$ 3.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,79 m²,"Apartamento en arriendo en las lomas no.1, medellín"
$ 2.400.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,64 m²,"Apartamento en arriendo en belén, medellín"
$ 7.000.000,"Casa en Medellín, Antioquia",4 Habs. ,5 Baños,250 m²,"Casa en arriendo en el poblado, medellín"
$ 9.500.000,"Casa en Medellín, Antioquia",3 Habs. ,4 Baños,170 m²,"Casa en arriendo en el poblado, medellín"
$ 5.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,140 m²,"Apartamento en arriendo en san lucas, medellín"
$ 1.600.000,"Apartamento en Medellín, Antioquia",1 Hab ,1 Baño,40 m²,"Apartamento en arriendo en guayabal, medellín"
$ 1.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,80 m²,Apartamento en arriendo en medellín
$ 5.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,100 m²,"Apartamento en arriendo en el tesoro, medellín"
$ 3.400.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,92 m²,"Apartamento en arriendo en loma de los bernal, medellín"
$ 4.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,115 m²,"Apartamento en arriendo en laureles, medellín"
$ 2.000.000,"Apartamento en Medellín, Antioquia",4 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en laureles, medellín"
$ 1.850.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,47 m²,"Apartamento en arriendo en belén san bernardo, medellín"
$ 2.100.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en belen malibu, medellín"
$ 2.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,62 m²,"Apartamento en arriendo en altos del poblado, medellín"
$ 4.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en laureles, medellín"
$ 7.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,125 m²,"Apartamento en arriendo en el tesoro, medellín"
$ 4.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en el poblado, medellín"
$ 12.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,5 Baños,180 m²,"Apartamento en arriendo en los balsos, medellín"
$ 3.500.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,71 m²,Apartamento en arriendo en medellín
$ 7.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,182 m²,"Apartamento en arriendo en laureles, medellín"
$ 8.000.000,"Apartamento en Medellín, Antioquia",4 Habs. ,3 Baños,160 m²,"Apartamento en arriendo en el poblado, medellín"
$ 5.500.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,85 m²,"Apartamento en arriendo en los balsos, medellín"
$ 4.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,81 m²,Apartamento en arriendo en medellín
$ 1.550.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,55 m²,"Apartamento en arriendo en belén fatima, medellín"
$ 2.400.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en la america, medellín"
$ 3.400.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,75 m²,"Apartamento en arriendo en el poblado, medellín"
$ 3.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,78 m²,"Apartamento en arriendo en altos del poblado, medellín"
$ 2.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,72 m²,"Apartamento en arriendo en loma del indio, medellín"
$ 3.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,110 m²,"Apartamento en arriendo en loma del campestre, medellín"
$ 3.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,85 m²,"Apartamento en arriendo en la abadia, envigado"
$ 10.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,195 m²,"Apartamento en arriendo en el poblado, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,64 m²,"Apartamento en arriendo en belen malibu, medellín"
$ 2.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,122 m²,"Apartamento en arriendo en belén san bernardo, medellín"
$ 1.600.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,50 m²,"Apartamento en arriendo en belén rincón, medellín"
$ 2.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,87 m²,"Apartamento en arriendo en la almeria, medellín"
$ 1.400.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,52 m²,"Apartamento en arriendo en granada, medellín"
$ 3.350.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,100 m²,"Apartamento en arriendo en el poblado, medellín"
$ 2.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en loma de los bernal, medellín"
$ 3.400.000,"Casa en Medellín, Antioquia",3 Habs. ,3 Baños,95 m²,Casa en arriendo en medellín
$ 5.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,140 m²,"Apartamento en arriendo en san lucas, medellín"
$ 1.250.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,55 m²,"Apartamento en arriendo en san antonio de prado, medellín"
$ 3.600.000,"Apartamento en Medellín, Antioquia",4 Habs. ,3 Baños,118 m²,"Apartamento en arriendo en laureles, medellín"
$ 2.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,57 m²,"Apartamento en arriendo en rodeo alto, medellín"
$ 1.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en belén, medellín"
$ 5.100.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en el poblado, medellín"
$ 5.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en belén, medellín"
$ 3.156.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en laureles, medellín"
$ 2.400.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en el poblado, medellín"
$ 2.900.000,"Casa en Medellín, Antioquia",3 Habs. ,1 Baño,80 m²,"Casa en arriendo en belén, medellín"
$ 2.800.000,"Apartamento en Medellín, Antioquia",4 Habs. ,2 Baños,74 m²,"Apartamento en arriendo en belén rosales, medellín"
$ 1.350.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,72 m²,"Apartamento en arriendo en la rosa, medellín"
$ 4.200.000,"Apartamento en Medellín, Antioquia",4 Habs. ,4 Baños,215 m²,"Apartamento en arriendo en calasanz, medellín"
$ 2.500.000,"Apartamento en Medellín, Antioquia",5 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en belén rosales, medellín"
$ 3.700.000,"Casa en Medellín, Antioquia",3 Habs. ,2 Baños,174 m²,"Casa en arriendo en la america, medellín"
$ 3.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en san diego, medellín"
$ 3.400.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,102 m²,"Apartamento en arriendo en conquistadores, medellín"
$ 6.700.000,"Casa en Medellín, Antioquia",2 Habs. ,4 Baños,170 m²,"Casa en arriendo en el poblado, medellín"
$ 3.060.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,58 m²,Apartamento en arriendo en medellín
$ 4.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,155 m²,"Apartamento en arriendo en laureles, medellín"
$ 5.000.000,"Casa en Medellín, Antioquia",6 Habs. ,2 Baños,145 m²,"Casa en arriendo en los colores, medellín"
$ 6.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,140 m²,"Apartamento en arriendo en santa maria de los angeles, medellín"
$ 4.650.000,"Apartamento en Medellín, Antioquia",1 Hab ,2 Baños,88 m²,"Apartamento en arriendo en el poblado, medellín"
$ 3.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,72 m²,"Apartamento en arriendo en santa maria de los angeles, medellín"
$ 4.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,124 m²,"Apartamento en arriendo en el poblado, medellín"
$ 4.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,100 m²,"Apartamento en arriendo en belén, medellín"
$ 3.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,74 m²,"Apartamento en arriendo en patio bonito, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,53 m²,"Apartamento en arriendo en pajarito, medellín"
$ 5.500.000,"Casa en Medellín, Antioquia",5 Habs. ,6 Baños,105 m²,"Casa en arriendo en conquistadores, medellín"
$ 1.300.000,"Apartamento en Medellín, Antioquia",1 Hab ,1 Baño,40 m²,"Apartamento en arriendo en belén, medellín"
$ 1.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,47 m²,Apartamento en arriendo en medellín
$ 1.650.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,48 m²,"Apartamento en arriendo en boston, medellín"
$ 3.500.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,64 m²,"Apartamento en arriendo en las palmas, medellín"
$ 3.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,75 m²,Apartamento en arriendo en medellín
$ 1.980.000,"Casa en Medellín, Antioquia",3 Habs. ,1 Baño,125 m²,"Casa en arriendo en robledo, medellín"
$ 1.600.000,"Apartamento en Medellín, Antioquia",1 Hab ,3 Baños,120 m²,"Apartamento en arriendo en la pilarica, medellín"
$ 5.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en el poblado, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,46 m²,"Apartamento en arriendo en robledo, medellín"
$ 5.100.000,"Apartamento en Medellín, Antioquia",4 Habs. ,2 Baños,120 m²,"Apartamento en arriendo en el poblado, medellín"
$ 1.100.000,"Apartamento en Medellín, Antioquia",1 Hab ,1 Baño,30 m²,"Apartamento en arriendo en prado, medellín"
$ 2.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,50 m²,"Apartamento en arriendo en el poblado, medellín"
$ 7.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,148 m²,"Apartamento en arriendo en altos del poblado, medellín"
$ 3.400.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en el poblado, medellín"
$ 1.250.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,40 m²,"Apartamento en arriendo en san antonio de prado, medellín"
$ 500.000,"Apartamento en Medellín, Antioquia",1 Hab ,1 Baño,40 m²,"Apartamento en arriendo en palenque, medellín"
$ 4.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,3 Baños,90 m²,Apartamento en arriendo en medellín
$ 5.350.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,94 m²,"Apartamento en arriendo en el poblado, medellín"
$ 4.800.000,"Apartamento en Medellín, Antioquia",4 Habs. ,4 Baños,119 m²,"Apartamento en arriendo en el poblado, medellín"
$ 11.000.000,"Casa en Medellín, Antioquia",5 Habs. ,4 Baños,320 m²,"Casa en arriendo en el poblado, medellín"
$ 1.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,5 m²,"Apartamento en arriendo en san antonio de prado, medellín"
$ 5.100.000,"Apartamento en Medellín, Antioquia",4 Habs. ,2 Baños,120 m²,"Apartamento en arriendo en el poblado, medellín"
$ 10.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,133 m²,"Apartamento en arriendo en castropol, medellín"
$ 1.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en belén rincón, medellín"
$ 1.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,85 m²,Apartamento en arriendo en medellín
$ 8.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,168 m²,"Apartamento en arriendo en el tesoro, medellín"
$ 2.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,50 m²,"Apartamento en arriendo en el poblado, medellín"
$ 7.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,148 m²,"Apartamento en arriendo en altos del poblado, medellín"
$ 5.000.000,"Apartamento en Medellín, Antioquia",4 Habs. ,3 Baños,135 m²,"Apartamento en arriendo en altos del poblado, medellín"
$ 1.100.000,"Apartamento en Medellín, Antioquia",1 Hab ,1 Baño,30 m²,"Apartamento en arriendo en prado, medellín"
$ 4.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en conquistadores, medellín"
$ 4.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,138 m²,"Apartamento en arriendo en el poblado, medellín"
$ 30.000.000,"Casa en Medellín, Antioquia",7 Habs. ,5 Baños,1100 m²,"Casa en arriendo en el poblado, medellín"
$ 1.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,50 m²,"Apartamento en arriendo en calasanz, medellín"
$ 1.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,50 m²,"Apartamento en arriendo en calasanz, medellín"
$ 10.000.000,"Apartamento en Medellín, Antioquia",4 Habs. ,5 Baños,207 m²,"Apartamento en arriendo en el poblado, medellín"
$ 3.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,95 m²,Apartamento en arriendo en medellín
$ 2.800.000,"Apartamento en Medellín, Antioquia",4 Habs. ,3 Baños,100 m²,"Apartamento en arriendo en la floresta, medellín"
$ 3.000.000,"Apartamento en Medellín, Antioquia",1 Hab ,1 Baño,58 m²,"Apartamento en arriendo en el poblado, medellín"
$ 3.500.000,"Casa en Medellín, Antioquia",4 Habs. ,3 Baños,210 m²,"Casa en arriendo en belén rosales, medellín"
$ 1.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,45 m²,"Apartamento en arriendo en prado, medellín"
$ 2.500.000,"Casa en Medellín, Antioquia",4 Habs. ,3 Baños,110 m²,"Casa en arriendo en la floresta, medellín"
$ 1.300.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,45 m²,"Apartamento en arriendo en calasanz parte alta, medellín"
$ 1.300.000,"Apartamento en Medellín, Antioquia",1 Hab ,1 Baño,40 m²,"Apartamento en arriendo en prado, medellín"
$ 2.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,3 Baños,80 m²,"Apartamento en arriendo en belén, medellín"
$ 5.000.000,"Casa en Medellín, Antioquia",4 Habs. ,4 Baños,250 m²,"Casa en arriendo en la america, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,45 m²,"Apartamento en arriendo en barrio cristóbal, medellín"
$ 4.000.000,"Apartamento en Medellín, Antioquia",4 Habs. ,4 Baños,110 m²,"Apartamento en arriendo en el poblado, medellín"
$ 7.500.000,"Apartamento en Medellín, Antioquia",4 Habs. ,4 Baños,130 m²,"Apartamento en arriendo en florida nueva, medellín"
$ 5.300.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,120 m²,"Apartamento en arriendo en el poblado, medellín"
$ 6.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,144 m²,"Apartamento en arriendo en los balsos, medellín"
$ 1.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,47 m²,"Apartamento en arriendo en pajarito, medellín"
$ 3.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,105 m²,"Apartamento en arriendo en laureles, medellín"
$ 5.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,3 Baños,87 m²,"Apartamento en arriendo en el poblado, medellín"
$ 1.100.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,47 m²,Apartamento en arriendo en medellín
$ 2.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,75 m²,"Apartamento en arriendo en belén miravalle, medellín"
$ 1.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,65 m²,Apartamento en arriendo en medellín
$ 3.200.000,"Apartamento en Medellín, Antioquia",5 Habs. ,4 Baños,120 m²,"Apartamento en arriendo en la america, medellín"
$ 3.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,105 m²,"Apartamento en arriendo en laureles, medellín"
$ 5.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,3 Baños,87 m²,"Apartamento en arriendo en el poblado, medellín"
$ 2.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,62 m²,"Apartamento en arriendo en la pilarica, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,45 m²,"Apartamento en arriendo en barrio cristóbal, medellín"
$ 1.100.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,47 m²,Apartamento en arriendo en medellín
$ 9.000.000,"Casa en Medellín, Antioquia",8 Habs. ,8 Baños,250 m²,Casa en arriendo en medellín
$ 2.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,55 m²,"Apartamento en arriendo en laureles, medellín"
$ 5.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,133 m²,"Apartamento en arriendo en laureles, medellín"
$ 3.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,87 m²,"Apartamento en arriendo en san diego, medellín"
$ 1.900.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,60 m²,"Apartamento en arriendo en calasanz parte alta, medellín"
$ 8.000.000,"Apartamento en Medellín, Antioquia",4 Habs. ,6 Baños,230 m²,Apartamento en arriendo en medellín
$ 3.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,75 m²,"Apartamento en arriendo en vía las palmas, medellín"
$ 1.500.000,"Casa en Medellín, Antioquia",4 Habs. ,1 Baño,70 m²,"Casa en arriendo en campo valdes no.1, medellín"
$ 900.000,"Apartamento en Medellín, Antioquia",1 Hab ,1 Baño,48 m²,"Apartamento en arriendo en la floresta, medellín"
$ 3.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,5 Baños,115 m²,"Apartamento en arriendo en los colores, medellín"
$ 2.800.000,"Casa en Medellín, Antioquia",3 Habs. ,2 Baños,110 m²,"Casa en arriendo en la floresta, medellín"
$ 5.000.000,"Casa en Medellín, Antioquia",4 Habs. ,4 Baños,250 m²,"Casa en arriendo en la america, medellín"
$ 1.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,47 m²,"Apartamento en arriendo en pajarito, medellín"
$ 4.000.000,"Apartamento en Medellín, Antioquia",4 Habs. ,4 Baños,110 m²,"Apartamento en arriendo en el poblado, medellín"
$ 6.000.000,"Casa en Medellín, Antioquia",7 Habs. ,3 Baños,240 m²,"Casa en arriendo en la américa, medellín"
$ 3.850.000,"Apartamento en Medellín, Antioquia",4 Habs. ,3 Baños,132 m²,"Apartamento en arriendo en laureles, medellín"
$ 7.500.000,"Apartamento en Medellín, Antioquia",4 Habs. ,4 Baños,130 m²,"Apartamento en arriendo en florida nueva, medellín"
$ 2.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,3 Baños,80 m²,"Apartamento en arriendo en belén, medellín"
$ 3.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en belén, medellín"
$ 4.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,124 m²,"Apartamento en arriendo en el poblado, medellín"
$ 10.550.000,"Casa en Medellín, Antioquia",4 Habs. ,4 Baños,315 m²,"Casa en arriendo en castropol, medellín"
$ 4.000.000,"Casa en Medellín, Antioquia",4 Habs. ,3 Baños,130 m²,"Casa en arriendo en florida nueva, medellín"
$ 2.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en la america, medellín"
$ 1.400.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,40 m²,"Apartamento en arriendo en buenos aires, medellín"
$ 29.000.000,"Casa en Medellín, Antioquia",4 Habs. ,5 Baños,380 m²,"Casa en arriendo en los balsos, medellín"
$ 700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,40 m²,"Apartamento en arriendo en san cristobal, medellín"
$ 6.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,108 m²,"Apartamento en arriendo en alejandria, medellín"
$ 1.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,65 m²,"Apartamento en arriendo en laureles, medellín"
$ 1.500.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,45 m²,"Apartamento en arriendo en loreto, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,65 m²,"Apartamento en arriendo en belen las playas, medellín"
$ 1.400.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,50 m²,"Apartamento en arriendo en belen las playas, medellín"
$ 3.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,84 m²,"Apartamento en arriendo en santa fe, medellín"
$ 1.900.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,50 m²,"Apartamento en arriendo en el chagualo, medellín"
$ 3.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,113 m²,"Apartamento en arriendo en la castellana, medellín"
$ 6.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,108 m²,"Apartamento en arriendo en alejandria, medellín"
$ 4.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,85 m²,"Apartamento en arriendo en el poblado, medellín"
$ 12.000.000,"Casa en Medellín, Antioquia",3 Habs. ,5 Baños,276 m²,"Casa en arriendo en las palmas, medellín"
$ 1.330.000,"Casa en Medellín, Antioquia",3 Habs. ,1 Baño,48 m²,"Casa en arriendo en buenos aires, medellín"
$ 7.400.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,184 m²,"Apartamento en arriendo en provenza, medellín"
$ 9.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,175 m²,"Apartamento en arriendo en alejandria, medellín"
$ 3.200.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en florida nueva, medellín"
$ 1.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,50 m²,"Apartamento en arriendo en san javier, medellín"
$ 4.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,190 m²,"Apartamento en arriendo en laureles, medellín"
