precio,tipo_inmueble,numero_habitaciones,numero_banos,metros_cuadrados,barrio_ubicacion
$ 2.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,85 m²,"Apartamento en arriendo en loma de san julian, medellín"
$ 3.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en loma de los bernal, medellín"
$ 1.250.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,45 m²,"Apartamento en arriendo en san antonio de prado, medellín"
$ 3.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,78 m²,"Apartamento en arriendo en el tesoro, medellín"
$ 3.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en guayabal, medellín"
$ 4.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,55 m²,"Apartamento en arriendo en calasanz, medellín"
$ 2.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,87 m²,"Apartamento en arriendo en calasanz, medellín"
$ 4.800.000,"Casa en Medellín, Antioquia",4 Habs. ,2 Baños,250 m²,"Casa en arriendo en laureles, medellín"
$ 5.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,120 m²,"Apartamento en arriendo en el poblado, medellín"
$ 7.600.000,"Casa en Medellín, Antioquia",3 Habs. ,5 Baños,270 m²,"Casa en arriendo en el poblado, medellín"
$ 23.000.000,"Casa en Medellín, Antioquia",9 Habs. ,7 Baños,850 m²,Casa en arriendo en medellín
$ 1.400.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,47 m²,"Apartamento en arriendo en robledo, medellín"
$ 1.050.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,35 m²,"Apartamento en arriendo en la milagrosa, medellín"
$ 9.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,160 m²,"Apartamento en arriendo en los balsos, medellín"
$ 12.000.000,"Casa en Medellín, Antioquia",5 Habs. ,5 Baños,250 m²,"Casa en arriendo en el poblado, medellín"
$ 2.850.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en san joaquin, medellín"
$ 1.400.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,44 m²,"Apartamento en arriendo en san antonio de prado, medellín"
$ 3.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,110 m²,"Apartamento en arriendo en el poblado, medellín"
